word,sentiment
furious,disgust
fussy,disgust
gaby,disgust
gag,disgust
gall,disgust
garbage,disgust
garish,disgust
gelatin,disgust
gent,disgust
germ,disgust
ghastly,disgust
ghetto,disgust
glitter,disgust
glut,disgust
gluttony,disgust
gnome,disgust
gob,disgust
goblin,disgust
gonorrhea,disgust
goo,disgust
gore,disgust
gorge,disgust
gory,disgust
grating,disgust
gratuitous,disgust
gray,disgust
greasy,disgust
greed,disgust
greedy,disgust
grievance,disgust
grim,disgust
grime,disgust
grimy,disgust
grisly,disgust
groan,disgust
grope,disgust
gross,disgust
grotesque,disgust
growling,disgust
gruesome,disgust
gruff,disgust
grumble,disgust
grumpy,disgust
guillotine,disgust
guilt,disgust
gush,disgust
gut,disgust
gutter,disgust
hag,disgust
hairy,disgust
hanging,disgust
harass,disgust
hardened,disgust
harlot,disgust
harmful,disgust
hate,disgust
hateful,disgust
hatred,disgust
heartworm,disgust
hell,disgust
hellish,disgust
hemorrhage,disgust
heretic,disgust
herpes,disgust
herpesvirus,disgust
hideous,disgust
hoax,disgust
hog,disgust
holocaust,disgust
homeless,disgust
homicide,disgust
honest,disgust
hood,disgust
hoot,disgust
hopelessness,disgust
horrible,disgust
horrid,disgust
horrific,disgust
horrifying,disgust
horror,disgust
hostile,disgust
hostility,disgust
howl,disgust
huff,disgust
hulk,disgust
humble,disgust
humbug,disgust
humiliating,disgust
humiliation,disgust
hurtful,disgust
hydrocephalus,disgust
hypertrophy,disgust
hypocrite,disgust
hypocritical,disgust
idiocy,disgust
idiot,disgust
idiotic,disgust
idolatry,disgust
ignorant,disgust
ill,disgust
illegal,disgust
illegality,disgust
illegitimate,disgust
illicit,disgust
illiterate,disgust
immoral,disgust
immorality,disgust
impeach,disgust
impolite,disgust
imprisoned,disgust
imprisonment,disgust
impure,disgust
impurity,disgust
inadmissible,disgust
inappropriate,disgust
incarceration,disgust
incase,disgust
incest,disgust
incestuous,disgust
incompatible,disgust
inconsiderate,disgust
inconvenient,disgust
incredulous,disgust
incubus,disgust
incurable,disgust
indecency,disgust
indecent,disgust
indifference,disgust
indignation,disgust
ineffectual,disgust
inefficiency,disgust
inept,disgust
ineptitude,disgust
inexcusable,disgust
infamous,disgust
infanticide,disgust
infantile,disgust
infect,disgust
infectious,disgust
infestation,disgust
infidel,disgust
infidelity,disgust
inhibit,disgust
inhuman,disgust
iniquity,disgust
inmate,disgust
insanity,disgust
insidious,disgust
instability,disgust
instinctive,disgust
insult,disgust
insulting,disgust
intense,disgust
interested,disgust
interior,disgust
intestinal,disgust
intolerance,disgust
intolerant,disgust
intoxicated,disgust
intrusive,disgust
irrational,disgust
irritating,disgust
irritation,disgust
janitor,disgust
jealous,disgust
jealousy,disgust
john,disgust
kite,disgust
lagging,disgust
lament,disgust
larceny,disgust
larger,disgust
latent,disgust
latrines,disgust
laughable,disgust
lavatory,disgust
lawsuit,disgust
lawyer,disgust
laxative,disgust
leeches,disgust
leer,disgust
lemon,disgust
leprosy,disgust
lesbian,disgust
lesser,disgust
lethal,disgust
lewd,disgust
liar,disgust
lick,disgust
lie,disgust
litigate,disgust
litigious,disgust
livid,disgust
loathe,disgust
loathing,disgust
loathsome,disgust
lonely,disgust
loo,disgust
loon,disgust
lord,disgust
lose,disgust
louse,disgust
lumpy,disgust
lunacy,disgust
lunatic,disgust
lurid,disgust
lush,disgust
lusty,disgust
lying,disgust
lynch,disgust
mad,disgust
maggot,disgust
malaria,disgust
malevolent,disgust
malfeasance,disgust
malicious,disgust
malign,disgust
mange,disgust
mangle,disgust
manslaughter,disgust
manure,disgust
masochism,disgust
massacre,disgust
materialist,disgust
measles,disgust
mess,disgust
messy,disgust
mildew,disgust
mire,disgust
misbehavior,disgust
misconception,disgust
misconduct,disgust
miserable,disgust
misery,disgust
misguided,disgust
mishap,disgust
misleading,disgust
misplace,disgust
misstatement,disgust
mistress,disgust
mistrust,disgust
mite,disgust
mockery,disgust
mocking,disgust
molestation,disgust
monochrome,disgust
monstrosity,disgust
morals,disgust
morbidity,disgust
morgue,disgust
mortification,disgust
mosquito,disgust
mouthful,disgust
muck,disgust
mucous,disgust
mucus,disgust
muddy,disgust
muff,disgust
murder,disgust
murderer,disgust
murderous,disgust
murky,disgust
musty,disgust
mutilated,disgust
mutilation,disgust
mutiny,disgust
nameless,disgust
nappy,disgust
nasty,disgust
nausea,disgust
nauseous,disgust
nefarious,disgust
neglected,disgust
nepotism,disgust
nettle,disgust
neurotic,disgust
nicotine,disgust
nose,disgust
notoriety,disgust
noxious,disgust
nurture,disgust
obese,disgust
obesity,disgust
obi,disgust
obliging,disgust
obnoxious,disgust
obscene,disgust
obscenity,disgust
occult,disgust
octopus,disgust
oddity,disgust
odious,disgust
offend,disgust
offender,disgust
offense,disgust
offensive,disgust
ogre,disgust
ooze,disgust
opium,disgust
opponent,disgust
oppress,disgust
oppression,disgust
oppressive,disgust
orc,disgust
outcast,disgust
outhouse,disgust
outrage,disgust
overpriced,disgust
owing,disgust
painful,disgust
palsy,disgust
parasite,disgust
parrot,disgust
pathetic,disgust
paucity,disgust
perdition,disgust
perpetrator,disgust
persecution,disgust
perspiration,disgust
perverse,disgust
perversion,disgust
pervert,disgust
perverted,disgust
pest,disgust
pestilence,disgust
petroleum,disgust
phlegm,disgust
phony,disgust
pig,disgust
piles,disgust
pillage,disgust
pimple,disgust
pious,disgust
pitfall,disgust
plagiarism,disgust
plague,disgust
plight,disgust
plunder,disgust
poaching,disgust
poison,disgust
poisoned,disgust
poisoning,disgust
